hur_id,date,status
AL011851_UNNAMED_14,1851-06-25 00:00,Hurricane
AL011851_UNNAMED_14,1851-06-25 21:00,Landfall
AL011851_UNNAMED_14,1851-06-26 06:00,Tropical Storm
AL021851_UNNAMED_1,1851-07-05 12:00,Hurricane
AL031851_UNNAMED_1,1851-07-10 12:00,Tropical Storm
AL041851_UNNAMED_49,1851-08-16 00:00,Tropical Storm
AL041851_UNNAMED_49,1851-08-17 12:00,Hurricane
AL041851_UNNAMED_49,1851-08-19 12:00,Tropical Storm
AL041851_UNNAMED_49,1851-08-20 00:00,Hurricane
AL041851_UNNAMED_49,1851-08-21 00:00,Tropical Storm
AL041851_UNNAMED_49,1851-08-21 12:00,Hurricane
AL041851_UNNAMED_49,1851-08-23 21:00,Landfall
AL041851_UNNAMED_49,1851-08-24 12:00,Tropical Storm
AL051851_UNNAMED_16,1851-09-13 00:00,Tropical Storm
AL061851_UNNAMED_17,1851-10-16 00:00,Tropical Storm
AL061851_UNNAMED_17,1851-10-19 15:00,Landfall
AL011852_UNNAMED_45,1852-08-19 00:00,Tropical Storm
AL011852_UNNAMED_45,1852-08-20 00:00,Hurricane
AL011852_UNNAMED_45,1852-08-22 12:00,Landfall
AL011852_UNNAMED_45,1852-08-26 06:00,Landfall
AL011852_UNNAMED_45,1852-08-27 00:00,Tropical Storm
AL021852_UNNAMED_8,1852-09-05 00:00,Hurricane
AL021852_UNNAMED_8,1852-09-05 18:00,Tropical Storm
AL031852_UNNAMED_20,1852-09-09 00:00,Hurricane
AL031852_UNNAMED_20,1852-09-12 00:00,Landfall
AL031852_UNNAMED_20,1852-09-12 06:00,Tropical Storm
AL031852_UNNAMED_20,1852-09-13 06:00,Hurricane
AL041852_UNNAMED_36,1852-09-22 00:00,Tropical Storm
AL041852_UNNAMED_36,1852-09-23 12:00,Hurricane
AL051852_UNNAMED_25,1852-10-06 00:00,Hurricane
AL051852_UNNAMED_25,1852-10-09 21:00,Landfall
AL051852_UNNAMED_25,1852-10-10 06:00,Tropical Storm
AL011853_UNNAMED_1,1853-08-05 12:00,Tropical Storm
AL021853_UNNAMED_1,1853-08-10 12:00,Tropical Storm
AL031853_UNNAMED_48,1853-08-30 00:00,Tropical Storm
AL031853_UNNAMED_48,1853-09-01 00:00,Hurricane
AL041853_UNNAMED_12,1853-09-08 00:00,Hurricane
AL051853_UNNAMED_1,1853-09-21 12:00,Tropical Storm
AL061853_UNNAMED_22,1853-09-26 00:00,Tropical Storm
AL061853_UNNAMED_22,1853-09-27 12:00,Hurricane
AL071853_UNNAMED_1,1853-09-28 12:00,Tropical Storm
AL081853_UNNAMED_14,1853-10-19 00:00,Hurricane
AL011854_UNNAMED_11,1854-06-25 00:00,Tropical Storm
AL011854_UNNAMED_11,1854-06-25 12:00,Hurricane
AL011854_UNNAMED_11,1854-06-26 12:00,Landfall
AL011854_UNNAMED_11,1854-06-26 18:00,Tropical Storm
AL021854_UNNAMED_1,1854-08-23 12:00,Tropical Storm
AL031854_UNNAMED_25,1854-09-07 00:00,Hurricane
AL031854_UNNAMED_25,1854-09-08 20:00,Landfall
AL031854_UNNAMED_25,1854-09-09 12:00,Tropical Storm
AL031854_UNNAMED_25,1854-09-11 00:00,Hurricane
AL041854_UNNAMED_11,1854-09-18 00:00,Hurricane
AL041854_UNNAMED_11,1854-09-18 21:00,Landfall
AL041854_UNNAMED_11,1854-09-19 12:00,Tropical Storm
AL051854_UNNAMED_12,1854-10-20 00:00,Tropical Storm
AL011855_UNNAMED_1,1855-08-06 12:00,Hurricane
AL021855_UNNAMED_6,1855-08-10 00:00,Hurricane
AL031855_UNNAMED_1,1855-08-11 12:00,Hurricane
AL041855_UNNAMED_16,1855-08-24 00:00,Tropical Storm
AL051855_UNNAMED_10,1855-09-15 00:00,Hurricane
AL051855_UNNAMED_10,1855-09-17 00:00,Tropical Storm
AL011856_UNNAMED_14,1856-08-09 00:00,Hurricane
AL011856_UNNAMED_14,1856-08-10 18:00,Landfall
AL011856_UNNAMED_14,1856-08-11 12:00,Tropical Storm
AL021856_UNNAMED_8,1856-08-13 00:00,Hurricane
AL031856_UNNAMED_12,1856-08-19 00:00,Tropical Storm
AL031856_UNNAMED_12,1856-08-19 11:00,Landfall
AL041856_UNNAMED_1,1856-08-21 12:00,Tropical Storm
AL051856_UNNAMED_40,1856-08-25 00:00,Hurricane
AL051856_UNNAMED_40,1856-08-31 06:00,Landfall
AL051856_UNNAMED_40,1856-08-31 18:00,Tropical Storm
AL061856_UNNAMED_20,1856-09-18 00:00,Tropical Storm
AL061856_UNNAMED_20,1856-09-19 12:00,Hurricane
AL061856_UNNAMED_20,1856-09-21 00:00,Tropical Storm
AL011857_UNNAMED_8,1857-06-30 00:00,Tropical Storm
AL021857_UNNAMED_47,1857-09-06 18:00,Tropical Storm
AL021857_UNNAMED_47,1857-09-09 06:00,Hurricane
AL021857_UNNAMED_47,1857-09-13 00:00,Landfall
